"","EventType","Fatalities","Injuries","HealthDamage","PropertyDamage","CropDamage","EconomicLoss"
"1","Avalanche",225,170,395,3721800,0,3721800
"2","Blizzard",102,819,921,670548960,112060000,782608960
"3","Coastal Flood",9,7,16,561397560,112000,561509560
"4","Cold/Wind Chill",219,108,327,3103000,71600000,74703000
"5","Debris Flow",49,58,107,433556100,48037000,481593100
"6","Dense Fog",81,1077,1158,22829500,0,22829500
"7","Drought",2,4,6,1046106000,13972571780,15018677780
"8","Dust Devil",4,86,90,1437760,0,1437760
"9","Dust Storm",22,440,462,5599000,3600000,9199000
"10","Excessive Heat",503,995,1498,21235100,26160000,47395100
"11","Extreme Cold/Wind Chill",470,491,961,201027800,2673138500,2874166300
"12","Flash Flood",1036,1800,2836,17588807095.91,1644997150,19233804245.91
"13","Flood",514,6874,7388,150247748379,10738146050,160985894429
"14","Freezing Fog",1,0,1,0,0,0
"15","Frost/Freeze",9,59,68,24675200,2002061000,2026736200
"16","Hail",15,1371,1386,15977540512.7,3046887623,19024428135.7
"17","Heat",2840,8627,11467,9550700,893863500,903414200
"18","Heavy Fog",0,0,0,2182000,0,2182000
"19","Heavy Rain",104,282,386,3237639190,938505800,4176144990
"20","Heavy Snow",130,1036,1166,946202140,134653100,1080855240
"21","Heavy Wind",3,0,3,467000,0,467000
"22","High Surf",291,453,744,193460650,0,193460650
"23","High Wind",293,1472,1765,6004916043,686321900,6691237943
"24","Hurricane-Typhoon",135,1333,1468,85356410010,5516117800,90872527810
"25","Ice Storm",112,2383,2495,3975903860,5022114300,8998018160
"26","Lake-Effect Snow",0,0,0,40182000,0,40182000
"27","Lightning",817,5232,6049,935457429.5,12092090,947549519.5
"28","Marine Hail",0,0,0,4000,0,4000
"29","Marine High Wind",8,6,14,1297010,0,1297010
"30","Marine Strong Wind",14,22,36,418330,0,418330
"31","Marine Thunderstorm Wind",19,34,53,5857400,50000,5907400
"32","Other",2,6,8,9975500,1034400,11009900
"33","Rip Current",585,534,1119,163000,0,163000
"34","Seiche",0,0,0,980000,0,980000
"35","Sleet",4,26,30,1950000,0,1950000
"36","Storm Surge/Tide",24,43,67,47964724000,855000,47965579000
"37","Strong Wind",153,439,592,194004530,76223500,270228030
"38","Thunderstorm Wind",715,9538,10253,11185921900.1,1271678988,12457600888.1
"39","Tornado",5658,91367,97025,58552456076.5,417463070,58969919146.5
"40","Tropical Depression",0,0,0,1737000,0,1737000
"41","Tropical Storm",73,387,460,7714990550,694896000,8409886550
"42","Tsunami",33,129,162,144062000,20000,144082000
"43","Volcanic Ash",0,0,0,5e+05,0,5e+05
"44","Waterspout",6,72,78,60730200,0,60730200
"45","Wildfire",90,1608,1698,8496728500,403281630,8900010130
"46","Winter Storm",217,1353,1570,6748997251,32444000,6781441251
"47","Winter Weather",85,766,851,65939650,15020000,80959650
